dist_id,year,state_name,dist_num,div_name,reg_name,population,households,income_mean,income_median
20101309,2010,Georgia,9,South Atlantic,South,800457,294009,63988,48148
20101310,2010,Georgia,10,South Atlantic,South,718988,266865,59619,42650
20101311,2010,Georgia,11,South Atlantic,South,774024,278287,66675,52806
20101312,2010,Georgia,12,South Atlantic,South,682424,245310,48531,36381
20101313,2010,Georgia,13,South Atlantic,South,763607,275055,62044,49989
20101501,2010,Hawaii,1,Pacific,West,651363,223380,85398,67708
20101502,2010,Hawaii,2,Pacific,West,682228,218887,80627,65174
20101601,2010,Idaho,1,Mountain,West,816163,306515,60273,47651
20101602,2010,Idaho,2,Mountain,West,710634,263768,58514,45101
20101701,2010,Illinois,1,East North Central,Midwest,602790,222374,56080,41675
20101702,2010,Illinois,2,East North Central,Midwest,614084,221020,56684,45454
20101703,2010,Illinois,3,East North Central,Midwest,654740,229661,72650,56455
20101704,2010,Illinois,4,East North Central,Midwest,590012,185936,58044,42881
20101705,2010,Illinois,5,East North Central,Midwest,656661,261507,82892,60153
20101706,2010,Illinois,6,East North Central,Midwest,653006,237004,88807,70644
20101707,2010,Illinois,7,East North Central,Midwest,618825,257255,85147,51176
20101708,2010,Illinois,8,East North Central,Midwest,725249,262252,91693,73854
20101709,2010,Illinois,9,East North Central,Midwest,624222,255142,76947,55591
20101710,2010,Illinois,10,East North Central,Midwest,650636,233552,124927,82407
20101711,2010,Illinois,11,East North Central,Midwest,753379,271605,70374,59225
20101712,2010,Illinois,12,East North Central,Midwest,663212,260999,55620,43348
20101713,2010,Illinois,13,East North Central,Midwest,758577,267343,108289,83475
20101714,2010,Illinois,14,East North Central,Midwest,818417,279959,82640,66411
20101715,2010,Illinois,15,East North Central,Midwest,679419,267569,60864,46640
20101716,2010,Illinois,16,East North Central,Midwest,716138,267992,70250,56170
20101717,2010,Illinois,17,East North Central,Midwest,632503,257196,53003,41182
20101718,2010,Illinois,18,East North Central,Midwest,664509,266843,66300,51738
20101719,2010,Illinois,19,East North Central,Midwest,668980,264742,61570,48938
20101801,2010,Indiana,1,East North Central,Midwest,701237,261219,62786,51246
20101802,2010,Indiana,2,East North Central,Midwest,679346,258343,56407,44031
20101803,2010,Indiana,3,East North Central,Midwest,718587,272510,61372,49110
20101804,2010,Indiana,4,East North Central,Midwest,774798,291768,68588,54365
20101805,2010,Indiana,5,East North Central,Midwest,789374,302830,79983,60894
20101806,2010,Indiana,6,East North Central,Midwest,674496,261589,55205,43920
20101807,2010,Indiana,7,East North Central,Midwest,668432,268973,51011,38300
20101808,2010,Indiana,8,East North Central,Midwest,690926,268393,56649,44265
20101809,2010,Indiana,9,East North Central,Midwest,720202,279777,56455,45100
20101901,2010,Iowa,1,West North Central,Midwest,591061,238637,60446,47462
20101902,2010,Iowa,2,West North Central,Midwest,613464,248385,62231,48754
20101903,2010,Iowa,3,West North Central,Midwest,631575,253128,67496,53638
20101904,2010,Iowa,4,West North Central,Midwest,604061,244656,61361,48412
20101905,2010,Iowa,5,West North Central,Midwest,576106,231148,57134,45998
20102001,2010,Kansas,1,West North Central,Midwest,650151,258187,54791,43533
20102002,2010,Kansas,2,West North Central,Midwest,700699,274446,59060,46347
20102003,2010,Kansas,3,West North Central,Midwest,752081,292400,82544,62693
20102004,2010,Kansas,4,West North Central,Midwest,706398,276639,61854,47295
